t,q0,q1,q2,q3,q4,q5,eig0,eig1,eig2,eig3,eig4,eig5,vcmd0,vcmd1,vcmd2,vcmd3,vcmd4,vcmd5,vreal0,vreal1,vreal2,vreal3,vreal4,vreal5
1.070,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.121,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.172,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.224,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.275,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.326,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.377,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.428,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.478,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.530,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.581,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.632,0.00000,-1.00000,0.60000,-1.40000,-1.57000,0.00000,0.01928,0.34936,0.46029,1.00768,2.64573,4.45745,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02192,-0.00386,-0.03087,0.00036,-0.00580,-0.00016
1.682,0.00001,-0.99991,0.60004,-1.40011,-1.57000,0.00001,0.01928,0.34940,0.46028,1.00768,2.64584,4.45748,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02192,-0.00386,-0.03087,0.00036,-0.00580,-0.00016
1.733,0.00007,-0.99954,0.60022,-1.40058,-1.57002,0.00007,0.01929,0.34956,0.46025,1.00769,2.64629,4.45760,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02191,-0.00386,-0.03089,0.00036,-0.00579,-0.00016
1.784,0.00017,-0.99887,0.60052,-1.40141,-1.57005,0.00016,0.01931,0.34985,0.46020,1.00769,2.64708,4.45782,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02191,-0.00386,-0.03093,0.00036,-0.00579,-0.00016
1.835,0.00030,-0.99792,0.60095,-1.40258,-1.57010,0.00030,0.01933,0.35026,0.46012,1.00769,2.64822,4.45813,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02190,-0.00386,-0.03098,0.00036,-0.00578,-0.00016
1.886,0.00050,-0.99660,0.60154,-1.40422,-1.57016,0.00049,0.01937,0.35083,0.46002,1.00769,2.64979,4.45857,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02188,-0.00386,-0.03105,0.00036,-0.00577,-0.00016
1.936,0.00066,-0.99550,0.60204,-1.40559,-1.57021,0.00065,0.01940,0.35131,0.45993,1.00769,2.65111,4.45893,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02187,-0.00385,-0.03111,0.00036,-0.00576,-0.00016
1.987,0.00081,-0.99440,0.60254,-1.40696,-1.57026,0.00081,0.01943,0.35178,0.45985,1.00769,2.65242,4.45929,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02186,-0.00385,-0.03117,0.00036,-0.00575,-0.00016
2.038,0.00097,-0.99330,0.60304,-1.40833,-1.57031,0.00097,0.01946,0.35225,0.45976,1.00769,2.65373,4.45965,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02185,-0.00385,-0.03124,0.00036,-0.00574,-0.00016
2.089,0.00116,-0.99197,0.60363,-1.40998,-1.57037,0.00115,0.01950,0.35282,0.45966,1.00769,2.65531,4.46009,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02183,-0.00385,-0.03131,0.00036,-0.00573,-0.00016
2.140,0.00132,-0.99086,0.60413,-1.41135,-1.57042,0.00131,0.01953,0.35329,0.45957,1.00769,2.65663,4.46045,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02182,-0.00385,-0.03137,0.00036,-0.00572,-0.00016
2.191,0.00148,-0.98975,0.60463,-1.41273,-1.57047,0.00147,0.01956,0.35377,0.45949,1.00769,2.65795,4.46082,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02181,-0.00384,-0.03143,0.00036,-0.00571,-0.00016
2.242,0.00167,-0.98842,0.60522,-1.41438,-1.57054,0.00165,0.01960,0.35433,0.45939,1.00769,2.65953,4.46126,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02179,-0.00384,-0.03150,0.00036,-0.00569,-0.00016
2.292,0.00182,-0.98731,0.60571,-1.41576,-1.57059,0.00181,0.01963,0.35480,0.45930,1.00769,2.66085,4.46162,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02178,-0.00384,-0.03156,0.00036,-0.00568,-0.00016
2.343,0.00201,-0.98597,0.60630,-1.41742,-1.57065,0.00200,0.01967,0.35536,0.45920,1.00769,2.66243,4.46206,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02177,-0.00384,-0.03163,0.00036,-0.00567,-0.00016
2.394,0.00217,-0.98485,0.60680,-1.41880,-1.57070,0.00215,0.01970,0.35583,0.45912,1.00770,2.66375,4.46243,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02175,-0.00383,-0.03169,0.00036,-0.00566,-0.00016
2.444,0.00232,-0.98373,0.60729,-1.42019,-1.57075,0.00230,0.01973,0.35630,0.45904,1.00770,2.66508,4.46280,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02174,-0.00383,-0.03176,0.00036,-0.00565,-0.00016
2.496,0.00251,-0.98238,0.60788,-1.42185,-1.57080,0.00249,0.01977,0.35686,0.45894,1.00770,2.66667,4.46324,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02172,-0.00383,-0.03183,0.00036,-0.00564,-0.00016
2.547,0.00266,-0.98126,0.60837,-1.42324,-1.57085,0.00264,0.01980,0.35732,0.45885,1.00770,2.66799,4.46361,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02171,-0.00383,-0.03189,0.00036,-0.00563,-0.00016
2.598,0.00282,-0.98013,0.60886,-1.42463,-1.57090,0.00280,0.01983,0.35779,0.45877,1.00770,2.66931,4.46398,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02170,-0.00382,-0.03195,0.00036,-0.00562,-0.00016
2.649,0.00297,-0.97901,0.60935,-1.42603,-1.57095,0.00295,0.01986,0.35825,0.45869,1.00770,2.67064,4.46435,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02168,-0.00382,-0.03201,0.00036,-0.00561,-0.00016
2.701,0.00312,-0.97788,0.60984,-1.42742,-1.57100,0.00310,0.01989,0.35872,0.45861,1.00770,2.67197,4.46472,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02167,-0.00382,-0.03207,0.00036,-0.00560,-0.00016
2.752,0.00328,-0.97675,0.61033,-1.42882,-1.57105,0.00325,0.01992,0.35918,0.45852,1.00770,2.67329,4.46509,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02165,-0.00382,-0.03213,0.00036,-0.00559,-0.00016
2.802,0.00346,-0.97539,0.61091,-1.43049,-1.57111,0.00344,0.01996,0.35973,0.45843,1.00770,2.67489,4.46553,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02164,-0.00381,-0.03220,0.00036,-0.00558,-0.00016
